The data shown here is provided by Statistics Canada from the 2016 Census as a custom data order for the City of Vancouver using the City's 22 local planning areas,,,,,,,,,,,,,,,,,,,,,,,,,
"The data may be reproduced provided they are credited to Statistics Canada, Census 2016, custom order for City of Vancouver Local Areas'",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
 CENSUS DATA FOR CITY OF VANCOUVER LOCAL AREAS 2016,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Variable,Arbutus-Ridge ,Downtown ,Dunbar-Southlands ,Fairview ,Grandview-Woodland ,Hastings-Sunrise ,Kensington-Cedar Cottage ,Kerrisdale ,Killarney ,Kitsilano ,Marpole ,Mount Pleasant ,Oakridge ,Renfrew-Collingwood ,Riley Park ,Shaughnessy ,South Cambie ,Strathcona ,Sunset ,Victoria-Fraserview,West End ,West Point Grey ,Vancouver CSD ,Vancouver CMA 
4111,"  Postsecondary certificate, diploma or degree",8480,42120,12300,23870,16215,13825,21805,7970,13440,29480,12935,21835,7040,21695,12510,4695,4675,4120,14870,11815,33490,7920,346380,1187535
4112,    Apprenticeship or trades certificate or diploma,325,2155,485,1195,1525,1820,2320,315,1330,1660,1060,1445,445,2765,880,150,215,550,1625,1455,2445,280,26340,133015
4113,      Trades certificate or diploma other than Certificate of Apprenticeship or Certificate of Qualification,205,1325,250,645,780,825,1165,145,740,870,620,720,235,1500,475,70,115,325,965,815,1360,130,14215,61205
4114,      Certificate of Apprenticeship or Certificate of Qualification,115,830,235,545,750,995,1160,170,595,790,440,725,215,1265,410,85,100,225,655,640,1085,150,12125,71810
4115,"    College, CEGEP or other non-university certificate or diploma",1645,8635,2005,5000,4305,4360,5975,1350,4075,5355,3080,5140,1335,6650,2755,735,1010,1260,4015,3705,8330,1290,81820,345280
4116,    University certificate or diploma below bachelor level,525,2400,475,1060,840,925,1165,440,855,1145,770,1005,390,1590,540,290,215,255,1285,865,1930,405,19320,77850
4117,"    University certificate, diploma or degree at bachelor level or above",5990,28935,9330,16620,9545,6720,12345,5865,7180,21320,8025,14245,4875,10690,8340,3525,3225,2055,7950,5785,20795,5935,218900,631385
4118,      Bachelor's degree,3575,18320,5105,9760,6050,4785,8445,3380,5180,12665,5380,9405,3065,8135,5225,1925,1940,1430,5595,4440,13205,2930,139740,415805
4119,      University certificate or diploma above bachelor level,425,1855,675,1055,540,390,750,420,520,1330,520,830,340,595,545,275,160,105,495,320,1410,425,13930,44850
4120,"      Degree in medicine, dentistry, veterinary medicine or optometry",275,1145,545,715,130,95,150,415,120,650,210,375,340,150,300,420,215,20,140,120,430,355,7295,18135
4121,      Master's degree,1350,6480,2190,4115,2410,1255,2570,1400,1155,5255,1595,3055,990,1530,1865,700,745,390,1515,800,4965,1575,47805,129655
4122,      Earned doctorate,365,1140,815,975,420,195,435,245,200,1420,320,585,145,280,400,195,170,115,200,110,785,650,10135,22935
4123,"  Total - Highest certificate, diploma or degree for males aged 15 years and over in private households - 25% sample data",5790,28825,8520,13525,12540,14270,20260,5495,11490,17705,10255,14205,5185,21715,8925,3215,2985,4685,14850,12620,23525,5175,265110,998835
4124,"    No certificate, diploma or degree",645,1525,865,610,1850,3025,3885,475,1870,1010,1065,1045,625,4275,1050,290,230,1225,2975,2640,1175,385,32620,139610
4125,    Secondary (high) school diploma or equivalency certificate,1360,5590,1850,2430,3215,4400,5955,1285,3350,3330,3060,2945,1335,6910,2080,675,590,1345,4740,4250,5105,1100,66710,288420
4126,"    Postsecondary certificate, diploma or degree",3790,21710,5800,10480,7470,6845,10425,3730,6275,13365,6130,10205,3230,10530,5795,2260,2160,2115,7135,5735,17245,3695,165785,570800
4127,      Apprenticeship or trades certificate or diploma,205,1390,325,740,1035,1380,1565,195,840,1030,685,925,265,1845,570,85,135,405,1020,915,1530,175,17180,94640
4128,        Trades certificate or diploma other than Certificate of Apprenticeship or Certificate of Qualification,115,750,145,310,435,530,650,65,410,430,365,385,130,870,255,30,70,220,515,435,720,70,7860,35080
4129,        Certificate of Apprenticeship or Certificate of Qualification,90,640,180,430,600,850,910,125,430,605,320,540,140,975,315,55,65,185,505,485,810,110,9320,59560
4130,"      College, CEGEP or other non-university certificate or diploma",600,4275,805,1975,1995,1965,2815,505,1725,2310,1315,2490,480,3150,1285,300,435,670,1740,1635,4115,460,36970,145135
4131,      University certificate or diploma below bachelor level,180,1155,180,390,350,435,405,160,410,425,320,500,160,625,180,90,85,135,580,395,915,170,8245,32950
4132,"      University certificate, diploma or degree at bachelor level or above",2805,14890,4495,7380,4090,3070,5640,2875,3295,9600,3810,6290,2320,4915,3750,1780,1510,905,3795,2790,10685,2890,103390,298080
4133,        Bachelor's degree,1585,9220,2290,4350,2635,2135,3895,1580,2360,5635,2460,4250,1410,3665,2345,930,875,620,2560,2130,6585,1345,64755,191250
4134,        University certificate or diploma above bachelor level,195,920,290,410,215,170,260,175,225,525,215,380,115,250,220,135,75,50,225,115,660,185,5980,18920
4135,"        Degree in medicine, dentistry, veterinary medicine or optometry",145,655,340,380,55,40,35,225,70,290,125,185,165,70,160,290,135,10,40,60,260,245,3985,9810
4136,        Master's degree,645,3390,1060,1675,965,645,1220,715,535,2305,815,1220,540,740,845,330,320,180,860,425,2680,725,22775,63875
4137,        Earned doctorate,230,705,525,565,220,85,230,180,105,845,190,250,100,190,190,95,95,50,105,55,500,395,5885,14225
4138,"  Total - Highest certificate, diploma or degree for females aged 15 years and over in private households - 25% sample data",7260,26080,9270,16605,13375,15145,21535,6565,13175,20750,11130,15025,6265,23275,10035,3515,3525,4120,15840,13820,21230,5870,282730,1065780
4139,"    No certificate, diploma or degree",810,1140,760,490,1785,3710,4670,600,2185,975,1170,900,800,5185,1210,250,325,1205,3510,3275,995,375,36235,147530
4140,    Secondary (high) school diploma or equivalency certificate,1760,4525,2015,2720,2845,4450,5485,1735,3830,3655,3155,2500,1650,6935,2110,835,690,910,4595,4460,3985,1275,65900,301525
4141,"    Postsecondary certificate, diploma or degree",4690,20410,6495,13395,8740,6980,11380,4240,7165,16120,6805,11625,3810,11155,6720,2435,2510,2005,7735,6080,16245,4220,180595,616735
4142,      Apprenticeship or trades certificate or diploma,120,765,160,455,485,445,760,125,490,625,375,520,180,920,310,70,80,145,605,540,915,105,9155,38380
4143,        Trades certificate or diploma other than Certificate of Apprenticeship or Certificate of Qualification,90,575,105,335,340,295,515,80,325,440,255,330,105,630,220,35,50,105,455,380,640,60,6350,26125
4144,        Certificate of Apprenticeship or Certificate of Qualification,30,190,55,120,145,145,240,45,170,190,120,190,75,290,95,30,35,40,145,160,275,45,2805,12255
4145,"      College, CEGEP or other non-university certificate or diploma",1045,4355,1200,3030,2310,2400,3155,845,2345,3040,1765,2650,850,3495,1465,430,575,595,2280,2075,4210,835,44850,200145
4146,      University certificate or diploma below bachelor level,340,1240,295,660,490,490,760,285,440,725,445,500,230,960,355,200,125,125,700,470,1015,240,11080,44895
4147,"      University certificate, diploma or degree at bachelor level or above",3185,14045,4835,9245,5460,3645,6700,2985,3890,11725,4220,7955,2555,5775,4580,1740,1720,1145,4155,2995,10105,3045,115515,333310
4148,        Bachelor's degree,1990,9105,2815,5410,3415,2650,4550,1800,2820,7030,2920,5155,1650,4480,2880,990,1060,810,3040,2305,6620,1585,74985,224555
4149,        University certificate or diploma above bachelor level,230,935,385,645,320,225,485,245,300,810,305,450,230,340,325,140,90,50,265,205,750,240,7950,25940
4150,"        Degree in medicine, dentistry, veterinary medicine or optometry",125,485,210,335,75,50,115,190,50,355,90,190,180,75,140,135,75,10,100,55,170,105,3310,8325
4151,        Master's degree,705,3090,1130,2440,1450,610,1355,685,620,2950,780,1830,450,790,1020,370,425,210,655,375,2280,850,25030,65785
4152,        Earned doctorate,130,435,295,410,200,115,210,65,95,570,125,330,50,90,215,100,70,65,95,60,290,255,4245,8710
,,,,,,,,,,,,,,,,,,,,,,,,,
4153,"Total - Highest certificate, diploma or degree for the population aged 25 to 64 years in private households - 25% sample data",7605,43495,10740,22455,20065,19570,29140,7060,16220,28115,14490,24275,6715,30000,13425,4125,4520,5860,19835,16800,34430,6495,384595,1392440
4154,"  No certificate, diploma or degree",260,1325,280,370,1755,2600,3725,225,1540,540,805,1050,365,4245,650,155,105,1135,2625,2590,1060,120,27415,111570
4155,  Secondary (high) school diploma or equivalency certificate,1270,6430,1560,2925,4105,5485,6940,1230,4035,3700,3330,3855,1300,8235,2290,610,640,1340,5185,5000,5880,895,76050,339185
4156,"  Postsecondary certificate, diploma or degree",6075,35740,8900,19160,14205,11485,18475,5600,10645,23875,10360,19365,5050,17520,10480,3360,3765,3385,12025,9210,27485,5485,281140,941685
4157,    Apprenticeship or trades certificate or diploma,215,1715,290,865,1245,1345,1745,175,925,1235,775,1185,255,1905,595,100,135,430,1205,965,1725,155,19105,93815
4158,      Trades certificate or diploma other than Certificate of Apprenticeship or Certificate of Qualification,140,1070,155,430,660,575,875,50,495,650,470,570,135,1060,305,40,85,245,720,550,985,85,10300,43165
4159,      Certificate of Apprenticeship or Certificate of Qualification,70,645,135,425,585,770,870,125,440,585,305,615,125,840,290,65,50,185,490,415,740,75,8810,50655
4160,"    College, CEGEP or other non-university certificate or diploma",1040,7100,1440,3880,3700,3505,4915,875,3135,4345,2465,4430,885,5205,2225,515,780,1040,3075,2885,6640,880,64825,267620
4161,    University certificate or diploma below bachelor level,350,1890,335,805,730,745,960,290,645,875,580,835,245,1180,405,190,180,180,1015,630,1485,265,14795,58550
4162,"    University certificate, diploma or degree at bachelor level or above",4470,25040,6840,13610,8530,5885,10850,4265,5930,17420,6540,12920,3665,9235,7260,2555,2675,1735,6730,4735,17630,4170,182415,521700
4163,      Bachelor's degree,2670,15865,3705,8045,5405,4175,7260,2490,4185,10225,4320,8500,2295,6940,4470,1415,1560,1210,4705,3615,11235,2050,116190,342235
4164,      University certificate or diploma above bachelor level,280,1550,500,830,455,330,675,300,435,1100,430,730,230,495,465,200,140,90,400,275,1190,265,11340,35945
4165,"      Degree in medicine, dentistry, veterinary medicine or optometry",220,960,420,570,110,70,130,265,105,535,170,340,215,130,275,290,175,20,125,90,370,250,5835,14490
4166,      Master's degree,1060,5760,1715,3435,2215,1145,2405,1035,1035,4465,1370,2825,825,1415,1690,545,650,335,1340,670,4230,1190,41290,111335
4167,      Earned doctorate,240,905,495,740,350,165,370,170,170,1095,250,515,90,250,355,105,145,85,165,75,605,420,7765,17695
4168,"  Total - Highest certificate, diploma or degree for males aged 25 to 64 years in private households - 25% sample data",3305,23045,4985,10345,9715,9510,14205,3125,7535,13170,7010,11935,2955,14520,6360,1870,2125,3140,9695,7955,18610,2950,187670,671970
4169,"    No certificate, diploma or degree",115,865,140,215,975,1270,1835,90,735,335,435,590,145,2060,340,85,65,635,1250,1175,645,80,14020,58095
4170,    Secondary (high) school diploma or equivalency certificate,570,3755,750,1600,2190,2665,3605,505,1875,1960,1735,2260,535,4075,1195,240,315,795,2720,2450,3590,380,39660,168975
4171,"    Postsecondary certificate, diploma or degree",2625,18430,4100,8530,6545,5570,8765,2530,4925,10885,4845,9085,2275,8380,4830,1545,1745,1710,5730,4320,14375,2485,133995,444900
4172,      Apprenticeship or trades certificate or diploma,130,1110,200,565,855,995,1190,110,600,795,505,760,150,1265,370,60,85,315,755,590,1155,75,12580,67360
4173,        Trades certificate or diploma other than Certificate of Apprenticeship or Certificate of Qualification,70,605,90,220,375,345,515,25,270,335,270,300,75,625,160,15,55,160,375,280,580,35,5750,24935
4174,        Certificate of Apprenticeship or Certificate of Qualification,60,505,105,345,485,655,680,80,325,460,235,460,75,645,210,50,35,155,380,305,575,40,6830,42425
4175,"      College, CEGEP or other non-university certificate or diploma",380,3665,595,1610,1750,1570,2340,300,1330,1935,1100,2195,300,2460,1085,190,335,540,1320,1250,3440,325,29980,112740
4176,      University certificate or diploma below bachelor level,125,900,130,330,305,365,320,115,305,330,225,420,105,455,145,50,75,90,465,275,750,110,6385,24495
4177,"      University certificate, diploma or degree at bachelor level or above",1995,12760,3180,6025,3640,2635,4915,2010,2680,7835,3010,5710,1715,4200,3230,1240,1255,765,3190,2195,9035,1975,85045,240310
4178,        Bachelor's degree,1105,7985,1630,3640,2360,1825,3340,1165,1900,4605,1920,3880,1035,3105,2000,670,715,515,2160,1690,5650,950,53775,154945
4179,        University certificate or diploma above bachelor level,125,780,215,325,185,140,235,110,185,440,170,330,75,190,185,95,70,40,175,95,550,120,4815,14735
4180,"        Degree in medicine, dentistry, veterinary medicine or optometry",105,525,235,290,50,20,30,120,60,225,95,170,95,65,135,185,100,10,35,35,200,160,2935,7210
4181,        Master's degree,510,2955,825,1340,880,585,1125,480,455,1935,680,1115,460,660,745,250,280,155,725,340,2250,530,19260,53020
4182,        Earned doctorate,150,515,275,430,175,65,175,125,85,620,140,215,60,180,160,50,90,40,90,45,385,215,4265,10395
4183,"  Total - Highest certificate, diploma or degree for females aged 25 to 64 years in private households - 25% sample data",4300,20450,5755,12110,10350,10055,14935,3935,8690,14940,7485,12345,3755,15480,7065,2260,2390,2715,10140,8850,15820,3550,196925,720470
4184,"    No certificate, diploma or degree",150,460,145,150,780,1325,1890,135,805,205,375,465,220,2180,310,70,40,495,1375,1410,415,40,13390,53480
4185,    Secondary (high) school diploma or equivalency certificate,700,2675,810,1325,1915,2820,3340,730,2160,1745,1590,1595,760,4160,1100,375,325,545,2470,2550,2290,515,36390,170210
4186,"    Postsecondary certificate, diploma or degree",3450,17310,4800,10635,7660,5910,9705,3070,5720,12995,5515,10285,2775,9140,5650,1815,2025,1675,6295,4890,13110,2995,147145,496780
4187,      Apprenticeship or trades certificate or diploma,85,605,90,295,395,350,555,65,330,440,270,425,105,635,225,40,50,110,455,370,575,80,6520,26455
4188,        Trades certificate or diploma other than Certificate of Apprenticeship or Certificate of Qualification,70,460,60,215,290,230,365,25,220,315,190,270,60,435,145,20,30,80,345,270,405,50,4545,18230
4189,        Certificate of Apprenticeship or Certificate of Qualification,15,145,30,85,105,120,195,40,110,125,80,155,50,195,80,15,20,30,110,105,170,30,1975,8225
4190,"      College, CEGEP or other non-university certificate or diploma",660,3430,845,2275,1945,1930,2580,570,1805,2415,1360,2235,580,2745,1135,325,445,495,1750,1635,3200,555,34845,154880
4191,      University certificate or diploma below bachelor level,230,985,205,475,425,380,635,180,345,545,355,415,140,720,255,140,105,90,550,350,735,165,8410,34055
4192,"      University certificate, diploma or degree at bachelor level or above",2475,12285,3665,7590,4895,3250,5935,2260,3245,9590,3530,7210,1950,5035,4030,1310,1420,975,3545,2535,8595,2200,97370,281390
4193,        Bachelor's degree,1565,7880,2080,4410,3040,2350,3915,1325,2285,5615,2400,4615,1265,3835,2470,740,845,690,2545,1925,5590,1100,62405,187290
4194,        University certificate or diploma above bachelor level,160,765,285,505,275,185,445,185,250,655,260,410,160,305,285,105,70,50,220,180,640,150,6525,21210
4195,"        Degree in medicine, dentistry, veterinary medicine or optometry",115,435,190,275,60,45,100,145,50,315,75,175,120,75,140,110,75,10,85,55,165,90,2900,7280
4196,        Master's degree,545,2805,890,2090,1340,570,1275,550,575,2530,690,1710,370,755,945,300,370,180,610,330,1985,660,22035,58310
4197,        Earned doctorate,90,395,220,310,180,100,200,50,85,475,105,300,35,70,195,60,60,45,75,35,225,205,3500,7300
,,,,,,,,,,,,,,,,,,,,,,,,,
4198,Total - Major field of study - Classification of Instructional Programs (CIP) 2016 for the population aged 15 years and over in private households - 25% sample data,13055,54905,17790,30130,25915,29410,41800,12065,24670,38455,21390,29225,11450,44995,18965,6735,6505,8810,30690,26440,44755,11050,547845,2064615
4199,"  No postsecondary certificate, diploma or degree",4575,12780,5490,6255,9700,15585,19995,4095,11235,8970,8450,7395,4415,23305,6450,2040,1835,4685,15815,14625,11260,3130,201465,877075
4200,  Education,520,1265,920,1220,955,625,1115,535,815,1720,675,965,425,930,805,245,290,130,820,605,1485,500,17510,69880
4201,    13. Education,515,1265,920,1225,955,625,1115,540,815,1720,675,965,420,930,805,245,285,130,820,605,1485,500,17510,69880
4202,"  Visual and performing arts, and communications technologies",470,3715,615,2400,2335,1235,2065,365,690,2445,800,3065,365,1280,1170,285,445,720,670,560,4065,525,30250,67210
4203,    10. Communications technologies/technicians and support services,25,720,50,305,295,210,350,25,125,305,130,440,20,300,150,20,60,100,110,130,825,20,4720,11500
4204,    50. Visual and performing arts,445,2995,570,2095,2040,1025,1715,340,560,2145,670,2630,345,980,1020,265,385,615,555,430,3245,505,25530,55710
4205,  Humanities,795,2475,900,1895,1530,990,1540,675,900,2435,990,1655,525,1120,1000,380,440,360,1055,680,2970,760,26035,79940
4206,"    16. Aboriginal and foreign languages, literatures and linguistics",165,400,140,215,115,75,140,85,140,265,165,135,90,140,75,70,40,30,115,85,495,90,3260,11125
4207,    23. English language and literature/letters,225,860,265,695,625,330,525,215,250,835,325,655,140,300,395,130,180,110,205,155,1040,295,8760,22630
4208,"    24. Liberal arts and sciences, general studies and humanities",225,580,180,315,330,270,465,170,290,470,250,355,165,375,230,85,115,75,490,310,495,110,6335,24845
4209,    30A Interdisciplinary humanities,0,0,10,10,10,10,0,10,0,20,15,20,0,20,10,0,10,0,0,10,25,0,160,345
4210,    38. Philosophy and religious studies,35,165,45,170,145,70,115,40,40,205,60,120,35,65,80,50,10,35,45,30,205,65,1815,4010
4211,    39. Theology and religious vocations,25,100,65,105,70,65,70,30,50,75,55,65,30,75,50,20,15,30,60,40,130,45,1265,5345
4212,    54. History,90,300,170,305,185,150,190,85,100,420,110,250,35,120,130,20,65,65,125,40,455,110,3510,9335
4213,    55. French language and literature/letters,30,75,25,90,55,20,40,50,30,150,10,50,30,20,40,15,20,10,10,10,125,40,940,2300
4214,  Social and behavioural sciences and law,1220,7305,2200,4425,2830,1990,3080,1380,1700,5620,1715,3705,960,2500,2000,840,725,625,1830,1280,5445,1395,54630,155565
4215,"    05. Area, ethnic, cultural, gender, and group studies",30,165,35,105,115,35,75,30,75,130,55,75,35,50,50,15,0,30,25,35,75,35,1280,2615
4216,"    09. Communication, journalism and related programs",70,1085,185,625,435,280,360,75,205,570,170,600,85,295,320,55,70,80,160,120,930,115,6880,16575
4217,    19. Family and consumer sciences/human sciences,80,420,105,250,225,245,405,80,245,350,190,245,95,370,105,65,70,50,285,225,440,110,4605,19090
4218,    22. Legal professions and studies,285,1450,450,715,365,270,335,340,195,960,165,555,155,275,315,255,100,85,230,165,815,320,8760,24595
4219,    30B Interdisciplinary social and behavioural sciences,30,105,40,120,120,55,85,10,25,120,10,110,10,30,35,10,10,30,35,25,150,20,1175,2635
4220,    42. Psychology,205,1180,475,920,505,350,605,230,255,1120,335,665,160,420,395,130,190,155,285,235,970,220,9970,26775
4221,    45. Social sciences,525,2895,905,1685,1060,755,1215,610,705,2380,780,1450,435,1060,785,310,290,200,815,475,2060,580,21970,63280
4222,"  Business, management and public administration",2010,11055,2615,4355,2380,2620,4055,1935,3160,5565,2810,4140,1925,4700,2265,1015,805,625,3220,2890,7130,1420,72550,260400
4223,    30.16 Accounting and computer science,0,10,10,10,0,10,0,0,0,0,0,0,0,10,0,0,0,0,10,15,0,0,75,420
4224,    44. Public administration and social service professions,75,315,90,310,365,140,280,40,125,345,75,280,75,110,145,25,20,80,100,85,415,60,3550,10235
4225,"    52. Business, management, marketing and related support services",1930,10730,2510,4040,2015,2465,3770,1895,3030,5220,2735,3860,1855,4585,2115,995,780,545,3100,2785,6715,1365,68920,249750
4226,  Physical and life sciences and technologies,615,1960,960,1625,630,680,1040,470,630,2195,820,1185,365,1010,835,275,295,210,785,585,1300,690,19135,55945
4227,    26. Biological and biomedical sciences,250,845,445,935,315,240,495,190,250,1195,400,560,130,415,425,140,160,95,320,220,660,300,8995,22715
4228,    30.01 Biological and physical sciences,160,400,160,235,110,175,270,125,175,225,170,220,85,300,155,65,55,40,240,185,245,90,3875,13390
4229,    30C Other interdisciplinary physical and life sciences,10,25,0,20,10,10,0,10,10,25,10,15,10,10,10,0,0,0,10,0,30,0,210,630
4230,    40. Physical sciences,180,655,330,415,195,245,255,125,175,750,230,385,125,250,255,65,70,60,210,165,350,280,5750,17610
4231,    41. Science technologies/technicians,20,35,25,15,0,15,15,20,15,10,0,10,15,30,0,10,0,10,15,15,15,10,305,1600
4232,"  Mathematics, computer and information sciences",345,2635,460,1020,630,635,1105,260,760,1165,820,910,365,1490,500,215,180,170,745,590,1755,325,17065,56695
4233,    11. Computer and information sciences and support services,220,2210,270,690,405,505,905,145,610,815,655,690,245,1240,360,115,135,110,660,515,1430,165,13090,44920
4234,    25. Library science,40,85,65,125,115,35,100,40,40,130,45,100,30,40,45,20,30,30,30,15,95,55,1315,3210
4235,    27. Mathematics and statistics,80,310,95,205,95,80,95,70,100,190,110,125,80,185,90,80,10,25,50,45,230,100,2440,7975
4236,"    30D Interdisciplinary mathematics, computer and information sciences",0,30,25,10,15,15,0,0,10,30,10,0,0,25,10,10,10,0,0,15,10,10,225,590
4237,"  Architecture, engineering, and related technologies",1095,5560,1610,2415,2080,2460,3585,920,2240,3475,2065,2475,900,3985,1570,445,575,605,2420,2060,4175,990,47600,211910
4238,    04. Architecture and related services,115,640,155,390,300,120,255,175,130,565,105,400,55,145,265,75,110,60,150,80,725,145,5175,11385
4239,    14. Engineering,655,3250,955,1120,580,635,1180,490,900,1615,1085,1045,490,1400,565,250,220,130,885,660,1780,545,20400,74080
4240,    15. Engineering technologies and engineering-related fields,150,690,195,295,350,410,570,75,405,400,280,360,130,660,195,35,100,100,415,410,590,140,6950,33830
4241,    30.12 Historic preservation and conservation,0,10,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,10,0,25,40
4242,    46. Construction trades,70,390,150,275,480,575,625,85,345,480,245,350,120,740,230,45,50,130,320,360,530,95,6640,39190
4243,    47. Mechanic and repair technologies/technicians,55,350,110,230,250,500,635,55,335,260,270,200,85,785,210,35,70,115,520,415,335,50,5835,35810
4244,    48. Precision production,45,230,45,100,120,225,320,35,130,140,85,115,20,255,105,0,25,75,140,140,215,25,2565,17580
4245,"  Agriculture, natural resources and conservation",90,470,180,295,345,200,350,175,145,480,190,310,75,315,220,60,75,50,260,130,370,90,4845,16890
4246,"    01. Agriculture, agriculture operations and related sciences",35,245,75,130,120,100,210,105,95,180,115,165,55,205,90,40,45,25,205,85,175,25,2550,10385
4247,    03. Natural resources and conservation,55,220,110,160,225,100,140,65,45,300,70,145,25,110,120,15,30,25,55,45,195,65,2300,6505
4248,  Health and related fields,1120,4190,1625,3500,1760,1630,2980,1080,1870,3565,1550,2560,990,3120,1685,865,755,375,2340,1800,3245,1080,43615,159905
4249,"    31. Parks, recreation, leisure and fitness studies",75,340,135,290,165,95,235,60,135,615,125,305,35,150,130,40,65,40,135,90,465,100,3815,12705
4250,    51. Health professions and related programs,965,3480,1240,2975,1565,1510,2710,860,1710,2690,1385,2105,870,2950,1450,660,620,330,2160,1690,2675,860,37380,141910
4251,"    60. Dental, medical and veterinary residency programs",85,370,250,240,35,30,35,160,25,265,40,145,85,20,105,170,75,0,50,25,110,115,2420,5295
4252,"  Personal, protective and transportation services",200,1460,210,715,730,745,885,170,530,790,495,850,145,1230,460,70,85,250,735,620,1540,140,13015,52975
4253,    12. Personal and culinary services,120,1085,135,555,615,640,755,130,420,585,385,685,110,1010,380,60,75,215,550,475,1245,110,10320,36770
4254,"    28. Military science, leadership and operational art",0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,0,30,90
4255,    29. Military technologies and applied sciences,0,10,0,10,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,10,0,0,55,265
4256,    43. Security and protective services,30,140,25,65,40,40,30,10,30,55,10,50,0,75,35,0,10,15,45,40,100,10,850,5915
4257,    49. Transportation and materials moving,45,215,50,90,70,65,100,30,70,145,100,110,30,135,45,0,0,25,135,95,180,15,1760,9935
4258,  Other,0,25,0,0,10,0,0,0,10,15,0,0,10,10,0,0,0,10,0,10,15,0,125,225
4259,"    30.99 Multidisciplinary/interdisciplinary studies, other",0,25,0,0,10,10,0,0,10,15,10,10,0,10,0,0,0,10,0,0,15,0,130,225
4260,  Total - Major field of study - Classification of Instructional Programs (CIP) 2016 for males aged 15 years and over in private households - 25% sample data,5795,28825,8515,13525,12540,14265,20260,5495,11495,17705,10255,14205,5185,21720,8925,3215,2980,4685,14850,12625,23525,5180,265110,998835
4261,"    No postsecondary certificate, diploma or degree",2005,7115,2715,3045,5070,7425,9835,1760,5220,4340,4125,3995,1960,11185,3135,960,820,2570,7715,6890,6280,1485,99330,428030
4262,    Education,90,270,180,260,210,195,270,90,205,360,160,250,70,210,215,25,65,60,205,170,550,105,4210,15415
4263,      13. Education,90,270,180,260,205,195,265,90,205,355,160,255,70,215,215,20,65,60,205,175,550,100,4215,15415
4264,"    Visual and performing arts, and communications technologies",195,2040,235,1085,1190,630,1030,100,330,1035,395,1550,145,720,580,100,205,345,300,245,2185,165,14815,31005
4265,      10. Communications technologies/technicians and support services,25,560,30,240,235,170,255,25,90,240,95,360,20,250,120,10,55,90,105,95,560,15,3635,8715
4266,      50. Visual and performing arts,170,1480,210,850,955,460,770,80,245,795,300,1190,120,470,465,95,155,255,200,155,1625,150,11185,22295
4267,    Humanities,265,895,325,720,650,370,565,265,305,1010,410,690,210,385,375,140,205,155,475,280,1325,255,10250,30295
4268,"      16. Aboriginal and foreign languages, literatures and linguistics",40,35,30,60,60,15,40,15,25,85,50,30,20,20,10,20,20,10,35,25,145,35,815,2575
4269,      23. English language and literature/letters,50,275,85,215,220,105,180,60,85,285,110,230,45,100,110,45,65,30,80,35,385,75,2870,7005
4270,"      24. Liberal arts and sciences, general studies and humanities",80,245,70,115,150,105,155,85,70,215,110,175,65,120,80,25,55,35,200,150,210,20,2525,9585
4271,      30A Interdisciplinary humanities,0,0,0,10,0,10,0,10,0,0,10,10,0,0,10,0,10,0,0,0,10,0,55,140
4272,      38. Philosophy and religious studies,10,80,10,110,90,30,65,35,25,145,55,45,15,40,55,25,10,25,35,15,140,30,1080,2390
4273,      39. Theology and religious vocations,20,65,55,35,30,35,35,15,30,20,30,25,30,50,35,15,10,15,35,30,80,20,705,3190
4274,      54. History,50,185,85,170,80,60,85,45,75,240,50,160,25,55,70,0,25,35,85,25,310,60,1980,4975
4275,      55. French language and literature/letters,10,20,0,15,15,0,10,10,10,20,0,15,10,0,10,0,10,0,0,10,45,15,205,430
4276,    Social and behavioural sciences and law,550,3110,870,1640,1015,770,1185,595,645,2135,640,1405,395,885,735,395,280,260,735,450,2300,635,21575,57725
4277,"      05. Area, ethnic, cultural, gender, and group studies",10,75,15,25,20,10,10,10,25,30,10,20,15,10,10,0,0,20,10,0,30,15,360,690
4278,"      09. Communication, journalism and related programs",20,410,55,190,160,95,160,15,85,175,75,210,25,85,105,25,20,15,75,40,380,30,2450,5980
4279,      19. Family and consumer sciences/human sciences,0,45,0,20,40,35,65,0,30,40,20,30,0,45,10,10,10,20,35,40,95,10,610,1740
4280,      22. Legal professions and studies,165,690,230,305,150,120,140,180,70,445,60,245,80,90,105,170,40,35,80,40,330,200,3955,9270
4281,      30B Interdisciplinary social and behavioural sciences,10,45,15,25,30,15,25,10,10,30,0,20,10,0,10,0,0,0,10,10,70,10,335,775
4282,      42. Psychology,60,400,120,245,175,115,195,90,90,255,100,170,55,105,130,35,60,70,65,65,335,80,3005,7545
4283,      45. Social sciences,280,1440,430,825,435,385,595,290,330,1160,385,715,210,550,365,160,150,95,455,260,1065,295,10860,31730
4284,"    Business, management and public administration",865,5510,1280,1970,960,1080,1635,920,1225,2500,1150,1915,845,1845,975,525,370,270,1435,1225,3460,690,32605,112020
4285,      30.16 Accounting and computer science,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,25,130
